"","Cote_crédit","Marge_sur_EBITDA","Marge_sur_EBIT","Rendement_sur_cap_prop","Rendement_sur_actif","ratio_tot_liab_sur_tot_actif","ratio_B_non_rep_sur_Tot_actif","ratio_Flux_de_TR_expl_sur_passif_cour","ratio_ben_avt_impot_sur_frais_int","ratio_tot_dette_sur_tot_actif","ratio_actuel","Ratio_de_liquid_réduite","ratio_Fonds_de_roulement","Ratio_de_liquidité","Ratio_Fonds_de_roulmt_sur_ventes","Total_actif","Marge_d_explt","Beta_applique"
"105",7,53.1319,13.286,-4.636,-2.8293,0.421472693418136,0.0310599688336555,2.10857074359691,2.2164,27.5527,0.6689,0.5016,-0.0177720224366797,0,-0.0456,2331.361,13.286,1.8588
"106",4,28.0535,14.8895,7.7789,1.8456,0.756032116668715,0.131006513457048,0.477249747219414,5.7313,13.4755,0.7907,0.2133,-0.00847978370406784,0.2133,-0.1038,48822,14.8895,0.4718
"107",3,12.2292,6.9181,26.4204,0.0091,1.27704476949535,-0.274164617120033,0.0723639324779365,1.0014,113.0023,0.4727,0.0337,-0.110758732917876,0.0337,-0.0933,216.308,6.9181,1
"108",3,41.1083,18.5395,8.487,1.0018,0.868255699429616,0.154900344423145,2.08412940515373,1.2467,81.4906,1.4825,1.2764,0.0235378659863053,0.8701,0.1185,510.709,18.5395,1
"109",5,6.7794,3.6363,22.0271,5.5407,0.751265754605192,0.00570936119788861,0.475210970464135,2.969,42.4216,1.1624,0.6002,0.0331789292254659,0.1287,0.0102,9283,3.6363,0.8784
"110",4,27.0274,19.9917,10.6018,4.9885,0.494163424124514,-0.0567972732482732,1.73781743308167,4.7763,33.092,0.6774,0.5635,-0.014176695924954,0.0885,-0.0652,33153,19.9917,1.1436
"111",4,19.8153,4.5964,3.9632,1.9093,0.511530768325685,0.367219672902694,0.782247765006386,0.9721,26.1266,0.9355,0.3863,-0.00594187551476644,0.0741,-0.0444,16998,4.5964,1.238
"112",6,27.7809,6.1361,0.429,0.1917,0.532872556455362,-0.296484231644362,1.33364341946323,0.8286,45.709,1.9335,1.326,0.061683752110195,0.3457,0.1435,3269.84,6.1361,2.0148
"113",5,42.955,25.4786,89.578,6.7357,0.889768556123341,-0.00659064970851027,0.958399240746599,2.5371,64.5164,0.8787,0.3757,-0.0157723192712243,0.0111,-0.0519,9725.9,25.4786,1
"114",2,-6.0681,4.876,2.1813,1.2273,0.462014398968281,-0.0043192249073086,0.216937846610575,3.5576,12.9509,0.9771,0.9654,-0.00331923189096451,0.8775,-0.015,3007.021,4.876,1
"115",4,53.0035,-8.2786,-14.3328,-6.2555,0.551555250042963,0.0421034542017529,0.306521739130435,-1.6238,12.0124,0.8399,0.3362,-0.0189895170991579,0.0377,-0.232,11638,-8.2786,1.7643
"116",4,56.3578,56.695,9.7152,5.3154,0.264216082799382,0.228617953025238,2.13807518796992,4.138,42.3101,1.3704,0.4711,0.00654463171254028,0.1913,-0.0551,15188.326,56.695,0.5829
"117",5,23.2916,16.7039,17.1962,6.9615,0.593175385636687,0.320284108494099,0.663915588379637,5.3363,35.7198,1.3558,0.9604,0.0799872613179154,0.7175,0.1296,2229.43,16.7039,0.9094
"118",4,40.8014,23.7842,23.2225,5.9272,0.745644128690672,0.200410599962182,0.75888665325285,4.4424,53.8372,0.858,0.4691,-0.0228801426294605,0.0828,-0.0927,37019,23.7842,0.732
"119",5,50.3015,19.0196,9.4301,5.7233,0.383803067295612,0.165821224547846,3.06564850695236,4.2387,24.1461,0.8625,0.7199,-0.00714675136890511,0.0219,-0.0084,8437.4,19.0196,1.1211
"120",4,40.5618,21.0674,12.3789,4.8609,0.598299884954621,0.111530103540841,0.553086419753086,3.8793,34.1813,0.7817,0.6113,-0.0395628275597597,0.5101,-0.1086,15646,21.0674,0.7331
"121",5,12.0189,7.7915,8.9118,2.6701,0.680762979010924,0.133610122489807,-0.0784635523125317,3.2797,22.9248,1.1374,0.6012,0.0534335549730505,0.2625,-0.0172,11644.724,7.7915,1.4274
"122",4,6.8805,3.9634,18.7832,5.1203,0.772180779744135,0.00936344847510612,0.486382194781916,3.3646,50.9604,0.8097,0.4029,-0.0566325661330588,0.251,-0.0153,13499.3,3.9634,1
"123",2,41.937,27.0942,34.3679,17.3111,3.1286540872902,0.517072298682137,0.0867362952597151,4.459,42.9519,0.6761,0.1484,-0.156398209276912,0.1484,-0.5355,3971.58,27.0942,0.4252
"124",4,15.3029,11.2404,13.0071,6.7043,1.34840427178455,0.436851880513852,0.4457343412527,8.4511,13.0011,0.8885,0.4033,-0.0319609967497291,0.0208,0.0257,1292.2,11.2404,1.0505
"125",4,34.1462,6.5747,6.7382,3.2389,0.52991558114832,0.172303907866048,0.988991173958432,2.8811,20.0928,0.9401,0.5616,-0.00705540336557276,0.186,-0.0292,89435,6.5747,1.2715
"126",7,7.461,3.0243,-6.7968,-0.0833,0.769934554165823,-0.232770785794041,0.0241801096473929,1.0379,60.644,1.2078,0.3048,0.0912862711036552,0.0037,0.072,923.359,3.0243,1.0505
"127",5,18.1324,9.2783,13.4029,3.9111,0.714403518416712,-0.38653106102254,0.785449146250928,2.5162,53.0181,0.9918,0.6444,-0.00120945574491479,0.0492,0.0106,3638,9.2783,0.8981
