"","Cote_crédit_num","Cote_crédit","RATINGS","Marge_sur_EBITDA","Marge_sur_EBIT","Rendement_sur_cap_prop","Rendement_sur_actif","Dette_LT","Total_passif","Total_actif","Bénéfices_non_répartis","Flux_de_trésorie_d'expl","Passif_courant","ratio_ben_avt_impot_sur_frais_int","ratio_tot_dette_sur_tot_actif","ratio_actuel","Ratio_de_liquid_réduite","Ratio_de_liquidité","Fonds_roulement","Ratio_Fonds_de_roulmt_sur_ventes","Marge_opérationnelle","Beta_applique","Croissance_adj_des_Bén_ann","Croissance_tot_actif","ratio_tot_liab_sur_tot_actif","ratio_B_non_rep_sur_Tot_actif","ratio_Flux_de_TR_expl_sur_passif_cour","ratio_Fonds_de_roulement_sur_tot_actif"
"40",4,"BBB","BBB",66.4298,68.3813,-17.664,-3.7356,6413.452,8695,15576.195,-318.355,580.556,4527.873,1.6308,41.9915,2.9646,1.4,1.1494,359.131,-0.0456,68.3813,0.7065,-4.6268,13.7129,0.558223622649819,-0.0204385602517174,0.128218260538668,0.0230564011300578
"41",6,"B","B+",17.9601,10.4321,26.4204,5.7708,428.749,530.049,717.499,-10.155,67.371,83.079,2.0906,61.3604,2.4913,1.2584,0.3896,123.895,0.1771,10.4321,0.5813,8.1115,9.0904,0.738745280481227,-0.0141533298304248,0.810926949048496,0.172676198851845
"42",5,"BB","BB+",47.7814,26.8427,16.7937,5.455,3087.033,4162.447,6804.197,1274.053,917.819,372.988,4.0396,45.9827,1.2924,1.1966,0.9826,109.071,0.0833,26.8427,0.5782,3.3766,2.4996,0.611746984985884,0.187245166475927,2.46071991592223,0.0160299591560915
"43",5,"BB","BB",33.4719,22.9805,-50.0981,-14.4706,1429.75,2922.463,3970.882,-1425.432,313.272,549.34,3.0151,37.9283,0.6564,0.6253,0.0836,-188.743,-0.0715,22.9805,1.561,119.9377,8.5717,0.735973267400039,-0.358971130343334,0.57026977827939,-0.0475317574281986
"44",6,"B","B-",49.2503,9.9625,1.3338,0.8315,350.712,537.989,1451.647,-636.28,81.395,46.69,0.8171,24.1725,1.0713,0.5782,0,3.329,0.0614,9.9625,1.606,-7.3814,3.4524,0.370605939322714,-0.438315926668122,1.74330691796959,0.00229325724504649
"45",3,"A","A-",53.5343,38.0696,16.1556,4.5395,7955,11626,16612,3664,1173,517,2.8676,48.5011,0.9072,0.6905,0.0019,-48,-0.0881,38.0696,1,21.4056,4.202,0.699855526125692,0.2205634481098,2.26885880077369,-0.00288947748615459
"46",6,"B","B",7.35,6.3673,-130.7433,-30.6379,0,223.629,161.434,-141.957,-28.086,126.143,1.7592,77.431,1.1276,0,0,16.098,0.0036,6.3673,1,28.6509,-19.0753,1.38526580522071,-0.879350074953232,-0.222652069476705,0.0997187705192215
"47",6,"B","B",-22.3899,-30.9073,-145.4856,-19.1433,543.558,804.815,1146.301,-309.347,96.135,233.26,-2.6628,49.0998,1.8609,0.8336,0.291,200.81,0.4593,-30.9073,0.6446,-9.3318,7.2388,0.702097442120351,-0.269865419292141,0.412136671525337,0.175180864362851
"48",4,"BBB","BBB-",13.6124,6.4929,18.8397,6.465,1889,1096.523,4955,308,248,617,1.7267,39.4147,2.6029,1.5462,1.0519,989,0.1809,6.4929,0.2955,-18.4635,15.2777,0.221296266397578,0.0621594349142281,0.40194489465154,0.199596367305752
"49",3,"A","A+",47.1476,18.4174,-24.2252,-2.0353,1015.587,1142.253,1196.092,-227.244,57.484,74.295,1.0449,88.0736,1.3895,1.294,1.0533,28.94,0.045,18.4174,1,31.6074,6.6809,0.954987576206512,-0.189988729963916,0.773726361127936,0.0241954632252369
"50",6,"B","B",48.8073,23.6657,2.4062,1.7372,428.208,1175.107,4648.92,-2229.867,165.826,221.723,3.2301,10.8582,1.9658,0.992,0.8337,214.137,0.4752,23.6657,0.5057,149.6044,-8.8622,0.252769890641267,-0.47965269352882,0.747897150949608,0.046061665935314
"51",4,"BBB","BBB+",76.6323,64.7521,37.9223,6.8867,7235,35467,43050,-1926,1689,1539,2.3617,17.6539,0.5757,0.3132,0.0247,-653,-0.2892,64.7521,1,127.2198,-0.4772,0.823855981416957,-0.0447386759581882,1.09746588693957,-0.0151684088269454
"52",3,"A","A",22.7399,8.8723,20.8081,1.8748,4609.163,7420.711,8874.846,291.525,624.314,800.339,1.1097,54.5423,0.8047,0.3725,0.1266,-156.294,-0.0565,8.8723,0.8656,7.2078,5.9504,0.836150959689892,0.0328484573140762,0.780061948749217,-0.0176108971355672
"53",3,"A","A",21.0362,12.3486,12.3648,3.2525,2295.763,3787.296,5117.989,-50.62,428.848,576.042,2.1477,48.5392,0.7012,0.4207,0.0826,-172.134,-0.0765,12.3486,1,5.1088,14.7303,0.739996901126595,-0.00989060351634206,0.744473493252228,-0.0336331320758993
"54",4,"BBB","BBB-",22.1672,12.5906,6.7898,2.515,2604.2,4435.6,6775.3,2092.1,397.9,945.6,4.2274,42.1694,2.0604,1.8711,1.142,1002.7,0.2317,12.5906,1,23.4155,5.8408,0.654672117839801,0.308783374905908,0.4207910321489,0.147993446784644
"55",3,"A","A-",38.573,20.9764,6.2475,2.0927,3026,7717,11421,2855,553,652,2.9398,26.9766,0.8037,0.4785,0.0506,-128,-0.074,20.9764,1,5.2709,14.7595,0.675685141406182,0.249978110498205,0.848159509202454,-0.0112074249190088
"56",1,"AAA","AAA",70.6492,15.1500812080537,4.5968,0.6898,159,54816,64572,8423,706,10537,-0.1499,81.4022,1.3895,0.4168,0.3739,-1221,0.0036,43.927,1,-12.2642,5.6726,0.848912841479279,0.130443535897912,0.0670019929771282,-0.0189091246980115
"57",5,"BB","BB+",5.5225,3.98,7.8584,3.7778,539.2,980.3,1924.9,284.5,249.7,405.9,3.577,32.1263,3.4361,1.1473,0.0394,988.8,0.2867,3.98,1.1541,-45.1814,-1.1819,0.50927320899787,0.147799885708348,0.615176151761518,0.51368902280638
"58",4,"BBB","BBB+",9.1851,5.4369,11.4583,4.1417,1591,3875,5990,1315,191,2026,4.3367,33.6728,1.806,0.5859,0.1323,1633,0.228,5.4369,1.2499,16.4063,2.5839,0.646911519198664,0.219532554257095,0.0942744323790721,0.272621035058431
"59",4,"BBB","BBB-",56.4083,55.8042,8.5349,3.8938,1356.99,4858,10161.36,1561.487,269.147,2026,2.4252,46.4845,1.6209,0.1641,0.129,1536,0.0392,55.8042,0.7601,0.8958,5.1417,0.478085610587559,0.153669095475409,0.132846495557749,0.151160868230237
"60",6,"B","B-",33.9562,11.6548,-0.6014,-0.2361,7360,14085,24747,3880,889,2523,0.578,35.6124,1.2493,0.5973,0.4511,629,0.2765,11.6548,1.4612,-9.5637,6.783,0.569159898169475,0.156786681213885,0.352358303606817,0.0254172222895705
