"","Cote_crédit_num","Cote_crédit","RATINGS","Marge_bénéficiaire nette","Marge_sur_EBITDA","Marge_sur_EBIT","Rendement_sur_cap_prop","Rendement_sur_actif","Dette_LT","Total_actif","Bénéfices_non_répartis","Flux_de_trésorie_d'expl","Passif_courant","ratio_ben_avt_impot_sur_frais_int","ratio_tot_dette_sur_tot_actif","ratio_actuel","Ratio_de_liquid_réduite","Ratio_de_liquidité","Fonds_roulement","Ratio_Fonds_de_roulmt_sur_ventes","Marge_opérationnelle","ratio_B_non_rep_sur_Tot_actif","ratio_Flux_de_TR_expl_sur_passif_cour","ratio_Fonds_de_roulement_sur_tot_actif"
"78",5,"BB","BB+",1.5442,4.8128,2.7376,11.2623,4.7891,831.6,4850.7,1068.2,635,1588.4,6.7143,19.6673,0.8804,0.3614,0.1418,-190,-0.0116,2.7376,0.220215638979941,0.399773356837069,-0.0391696043869957
"79",3,"A","A-",7.4697,17.7671,14.1005,16.1778,7.4934,7866,32528,13025,4462,3538,182.4286,24.2437,0.9149,0.6331,0.1865,-301,-0.0052,14.1005,0.400424249877029,1.26116449971735,-0.00925356615838662
"80",4,"BBB","BBB",21.0747,61.2124,38.4096,29.5644,10.1489,3667.4123,15789.7454,2852.7185,3853.075,2785.616,17.454,23.3083,0.7248,0.4212,0.0448,-766.5175,-0.1056,38.4096,0.180669062592992,1.38320393047714,-0.0485452729339132
"81",4,"BBB","BBB",9.9023,38.5274,31.4951,7.0788,2.922,5102,31533,5476,2109,9278,11.5165,40.8271,0.4418,0.1757,0.0928,-5179,-0.2648,31.4951,0.173659341007833,0.227311920672559,-0.164240636793201
"82",4,"BBB","BBB",19.7333,52.7486,42.8169,12.0291,6.177,4883,29055,8840,3274,1750,7.3538,17.0298,1.8857,1.0914,0.4754,1550,0.1552,42.8169,0.304250559284116,1.87085714285714,0.0533471003269661
"83",6,"B","B+",-129.825,66.8546,38.2388,-25.4258,-9.1407,3513.223,6473.712,-816.679,180.472,689.908,0.9741,54.6284,1.1013,0.1772,0.1204,69.876,-0.4166,38.2388,-0.1261531251313,0.261588501655293,0.0107938073241442
"84",4,"BBB","BBB+",11.6855,39.7597,22.0139,16.1014,6.2652,6348,19021,1762,2819,3057,4.5896,33.3947,0.4953,0.3173,0.0013,-1543,-0.1496,22.0139,0.0926344566531728,0.922145894667975,-0.0811208664108091
"85",4,"BBB","BBB+",10.3893,36.3419,18.4156,13.6348,5.2197,6090,19219,2159,2904,2964,3.3252,32.1141,0.3802,0.248,0.0138,-1837,-0.1759,18.4156,0.112336750091056,0.979757085020243,-0.0955824964878506
"86",3,"A","A-",11.1643,25.5317,14.2479,8.1689,4.5524,6783,34589,10650,2761,4645,4.2879,21.5994,0.7935,0.5724,0.1811,-959,0.234,14.2479,0.307901355922403,0.594402583423036,-0.0277255774957356
"87",3,"A","A",7.1011,11.3578,4.7968,17.6977,6.1733,961.636,2779.812,413.474,266.466,561.443,1.5272,52.2248,0.9754,0.5982,0.4315,-19.406,0.0712,4.7968,0.148741713468393,0.474609176710726,-0.00698104763919287
"88",4,"BBB","BBB",9.5773,37.3363,18.2192,8.8603,2.6363,3823,9635,431,838,1075,2.4847,42.138,0.8233,0.4158,0.0326,-190,-0.0374,18.2192,0.0447327451997924,0.77953488372093,-0.0197197716658018
"89",3,"A","A-",16.7305,46.9428,33.1477,12.3392,3.9685,15368,40935,13025,2804,6745,2.7631,44.1261,0.7592,0.3825,0.1927,-1624,-0.0669,33.1477,0.318187370221082,0.415715344699778,-0.0396726517649933
"90",4,"BBB","BBB",5.622,14.9166,8.4606,13.0795,5.7703,358.7,2027.7,415.6,334.8,532.1,8.5051,23.5143,1.0795,0.7861,0.0662,42.3,0.0081,8.4606,0.204961286186319,0.629205036647247,0.020861074123391
"91",4,"BBB","BBB",0.3252,16.1852,9.7065,0.6917,0.3146,602.1,2620.4,756.5,287,745,7.9932,30.3923,0.5984,0.3997,0.1217,-299.2,-0.0887,9.7065,0.28869638223172,0.385234899328859,-0.114181041062433
"92",3,"A","A+",-2.1385,7.0057,-0.0014,4.1241,-1.1812,165.328,1075.579,1692,2.568,88.958,-7e-04,15.5873,2.6048,2.5534,2.3547,142.763,0.223,-0.0014,1.57310620605274,0.0288675554756177,0.1327313010016
"93",2,"AA","AA",-8.2906,5.1871,-0.5319,20.1856,4.3677,51.9,3909,467,94.5,511.2,-0.3234,1.3277,1.3942,1.366,1.1315,201.5,0.3462,-0.5319,0.1194678946022,0.184859154929577,0.05154771041187
"94",2,"AA","AA",-8.426,-2.3034,-6.5149,14.5853,4.1789,230.527,1571.785,238.094,45.579,141.848,-4.2949,15.2187,1.6607,1.5373,0.9817,93.722,0.3462,-6.5149,0.151480005216999,0.321322824431786,0.0596277480698696
"95",4,"BBB","BBB-",6.459,15.9257,9.5152,11.8274,6.8739,299.5,2610.3,942.9,440.7,389,9.6351,11.9143,2.0285,1.0517,0.4193,400.1,0.1055,9.5152,0.361222847948512,1.13290488431877,0.153277401065012
"96",4,"BBB","BBB-",-4.2998,4.0144,-4.8048,-6.661,-3.932,465.3,3411.6,1428.9,179.1,482,-4.2438,19.3985,1.744,0.5668,0.0419,358.6,0.1161,-4.8048,0.418835736897643,0.371576763485477,0.105111970922734
"97",4,"BBB","BBB+",10.9203,31.6329,21.1997,12.5556,4.3174,4152,10091,975,679,1409,2.7475,45.2482,0.8013,0.5628,0.0546,-280,-0.1097,21.1997,0.0966207511644039,0.481902058197303,-0.0277474977702904
"98",4,"BBB","BBB-",2.5929,5.7342,3.7304,17.5251,4.3677,5308,19664,5299,1173,5063,3.0075,31.9772,1.6188,0.6156,0.4264,3133,0.053,3.7304,0.269477217249797,0.231680821647245,0.159326688364524
"99",3,"A","A",35.8812,51.7976,42.5636,23.3267,6.3896,256.267,478.227,182.192,52.382,36.968,38.7455,53.6528,0.5918,0.5649,0.2909,-15.091,-0.1427,42.5636,0.380973888969046,1.41695520450119,-0.031556143839641
