"","binaire_cote_credit_2008","Cote_crédit","Marge_bénéficiaire.nette","Marge_sur_EBITDA","Marge_sur_EBIT","Rendement_sur_cap_prop","Rendement_sur_actif","ratio_ben_avt_impot_sur_frais_int","ratio_tot_dette_sur_tot_actif","ratio_B_non_rep_sur_Tot_actif","ratio_Flux_de_TR_expl_sur_passif_cour","ratio_actuel","Ratio_de_liquid_réduite","Ratio_de_liquidité","Ratio_Fonds_de_roulmt_sur_ventes","ratio_Fonds_de_roulement_sur_tot_actif","Total_actif","Marge_opérationnelle"
"65","firm_inv","A",-3.3777,38.4587,18.2725,-4.1568,-0.6309,0.7903,80.3365,-1.69694221300855,1.0610414184596,1.3826,1.23,0.8125,0.1703,0.0126304927257246,432.208,18.2725
"66","firm_inv","BBB",23.9735,38.4324,27.742,18.0576,7.9213,4.3728,45.0648,-0.215680322385563,1.3301134714023,0.4765,0.4765,0.0825,-0.0707,-0.0408599906808063,2118.209,27.742
"67","firm_inv","A",27.1448,46.582,39.7156,27.048,12.4696,11.5422,35.8783,0.16414742394031,0.995865139949109,0.6663,0.4679,0.131,-0.0271,-0.0674728243391008,15547,39.7156
"68","firm_spec","BB",-10.1525,28.6372,21.5249,-17.2438,-4.8691,2.9091,54.3793,-0.372097968578005,0.730508317070904,0.7884,0.4706,0.0211,-0.0478,-0.0284824377063945,7994.4,21.5249
"69","firm_inv","AA",-8.9648,-6.0681,-9.6072,-8.9354,-4.5416,-10.1388,8.5637,1.6764179671078,-0.110996737800038,0.106,0.0875,0.0111,-0.7809,-0.388302443299481,1348.709,-9.6072
"70","firm_inv","BBB",26.2675,65.2168,39.9843,30.761,10.0665,18.3855,21.4096,0.213444438394594,2.0347031980527,0.7228,0.368,0.0324,-0.1161,-0.0410595388663625,18433.8797,39.9843
"71","firm_inv","BBB",19.8914,62.4156,41.3704,8.4743,2.7392,1.8011,61.0829,-0.135612219299292,0.662237871674491,0.9918,0.4693,0.1927,-0.4166,0.0698830218168049,5337.491,41.3704
"72","firm_inv","BBB",173.4609,63.1279,62.8959,49.6511,20.2748,2.4485,49.6286,0.117938329957236,0.316885047858006,1.2844,1.23,0.4279,-0.0116,-0.582826918748593,8886,62.8959
"73","firm_inv","BBB",8.8399,37.715,20.8999,21.4561,6.1838,4.12,49.9122,0.0404519377122117,1.20949926362297,0.8454,0.5166,0,-0.0449,-0.0245872848612575,17082,20.8999
"74","firm_spec","BB",2.6309,6.6896,5.528,7.318,4.0177,4.1233,22.5665,0.181760429166373,0.295706371191136,4.0686,2.1645,1.1208,0.4096,0.625538222630056,1416.7,5.528
"75","firm_inv","BBB",16.3518,42.1103,27.4566,20.3181,6.5969,5.31,35.3962,0.119924528301887,1.24641833810888,0.9549,0.8095,0.4563,-0.1024,-0.00475471698113208,13250,27.4566
"76","firm_inv","BBB",7.9525,14.1113,12.0001,29.32,6.4733,6.1046,25.4759,0.194038783211316,0.180166092055961,1.2355,0.8691,0.4279,0.1021,0.0904012615712732,7520.78,12.0001
"77","firm_inv","BBB",4.3974,8.8325,7.0026,30.9818,4.7148,4.3707,31.2156,0.115294634690081,0.0956271117423635,1.0844,0.813,0.3017,0.0385,0.0408173150619549,6771.538,7.0026
"78","firm_spec","BB",1.5442,4.8128,2.7376,11.2623,4.7891,6.7143,19.6673,0.220215638979941,0.399773356837069,0.8804,0.3614,0.1418,-0.0116,-0.0391696043869957,4850.7,2.7376
"79","firm_inv","A",7.4697,17.7671,14.1005,16.1778,7.4934,182.4286,24.2437,0.400424249877029,1.26116449971735,0.9149,0.6331,0.1865,-0.0052,-0.00925356615838662,32528,14.1005
"80","firm_inv","BBB",21.0747,61.2124,38.4096,29.5644,10.1489,17.454,23.3083,0.180669062592992,1.38320393047714,0.7248,0.4212,0.0448,-0.1056,-0.0485452729339132,15789.7454,38.4096
"81","firm_inv","BBB",9.9023,38.5274,31.4951,7.0788,2.922,11.5165,40.8271,0.173659341007833,0.227311920672559,0.4418,0.1757,0.0928,-0.2648,-0.164240636793201,31533,31.4951
"82","firm_inv","BBB",19.7333,52.7486,42.8169,12.0291,6.177,7.3538,17.0298,0.304250559284116,1.87085714285714,1.8857,1.0914,0.4754,0.1552,0.0533471003269661,29055,42.8169
"83","firm_spec","B",-129.825,66.8546,38.2388,-25.4258,-9.1407,0.9741,54.6284,-0.1261531251313,0.261588501655293,1.1013,0.1772,0.1204,-0.4166,0.0107938073241442,6473.712,38.2388
"84","firm_inv","BBB",11.6855,39.7597,22.0139,16.1014,6.2652,4.5896,33.3947,0.0926344566531728,0.922145894667975,0.4953,0.3173,0.0013,-0.1496,-0.0811208664108091,19021,22.0139
"85","firm_inv","BBB",10.3893,36.3419,18.4156,13.6348,5.2197,3.3252,32.1141,0.112336750091056,0.979757085020243,0.3802,0.248,0.0138,-0.1759,-0.0955824964878506,19219,18.4156
"86","firm_inv","A",11.1643,25.5317,14.2479,8.1689,4.5524,4.2879,21.5994,0.307901355922403,0.594402583423036,0.7935,0.5724,0.1811,0.234,-0.0277255774957356,34589,14.2479
